species_id,sciname,kingdom,phylum,tot_count_cells,cell_count_cutoff,num_countries,xbd
Chn-91abc70c-b6ae-49a6-840b-05ea852baff4,Comanthina schlegeli,Animalia,Echinodermata,3343,167.15,31,transboundary
Chn-9486b34f-116a-4f90-9c34-5036248600fb,Carinosquilla multicarinata,Animalia,Arthropoda,2254,112.7,20,transboundary
Chn-95019cab-ea8c-4f88-8845-07fe7355cf8a,Eudiocrinus indivisus,Animalia,Echinodermata,1383,69.15,11,transboundary
Chn-96fbc6f5-e394-47b5-a61c-18bf2cd2bf54,Squilloides leptosquilla,Animalia,Arthropoda,2558,127.9,24,transboundary
Chn-989e06a2-4a12-4203-ab29-63f4980177e2,Enosteoides ornatus,Animalia,Arthropoda,810,40.5,7,transboundary
Chn-98e49457-8952-440e-a574-b5bde95cbd5e,Harpiosquilla harpax,Animalia,Arthropoda,4954,247.7,43,transboundary
Chn-9c57f873-6f37-475b-b2c8-960bd5a90a96,Eudiocrinus venustulus,Animalia,Echinodermata,1062,53.1,10,transboundary
Chn-9e100c7f-ed38-4571-9d2a-678f6d9068c8,Leandrites stenopus,Animalia,Arthropoda,2662,133.1,17,transboundary
Chn-9eb0793c-27f0-4979-b8f4-bb1354f21ca1,Faughnia formosae,Animalia,Arthropoda,1913,95.65,16,transboundary
Chn-9ef9df3b-6207-4680-8f1a-c503ede801f8,Cyllometra manca,Animalia,Echinodermata,1459,72.95,10,transboundary
Chn-a950d9ab-57f4-46c8-899c-f432262701d4,Spiropagurus spiriger,Animalia,Arthropoda,757,37.85,9,transboundary
Chn-ad8809bb-42d3-4efb-9e18-86438763254f,Manningia australiensis,Animalia,Arthropoda,3079,153.95,25,transboundary
Chn-ada48df7-2439-4cc7-90ad-92bebf5d5407,Neometra alecto,Animalia,Echinodermata,1153,57.65,10,transboundary
Chn-ae156111-0d32-4a94-8720-9d7733c99831,Birgus latro,Animalia,Arthropoda,1299,64.95,26,transboundary
Chn-ae1e5fbc-a8f3-4769-930f-a9ee579cc61b,Paramunida scabra,Animalia,Arthropoda,1615,80.75,13,transboundary
Chn-aeb653ab-6477-483a-bf1e-211cc80a18b3,Anchisquilla fasciata,Animalia,Arthropoda,4092,204.6,36,transboundary
Chn-af5aeff7-d489-44d6-829b-33a5aeefe39e,Faughnia serenei,Animalia,Arthropoda,2779,138.95,23,transboundary
Chn-b0bf9541-4c48-46f9-9f39-7e472c527992,Haptosquilla glyptocercus,Animalia,Arthropoda,3319,165.95,34,transboundary
Chn-b6aab914-ac7d-46e9-aeeb-e00ab2a64a40,Amphimetra laevipinna,Animalia,Echinodermata,1297,64.85,10,transboundary
Chn-bc491994-c9e7-4370-9312-38d8eccf4014,Oratosquillina interrupta,Animalia,Arthropoda,3454,172.7,37,transboundary
Chn-c03cfb65-01dc-40d6-9859-1dacbb967008,Striatobalanus amaryllis,Animalia,Arthropoda,4279,213.95,43,transboundary
Chn-c0b96bcd-a248-4a2d-ba80-d1c9d13b890b,Lophosquilla costata,Animalia,Arthropoda,4280,214,39,transboundary
Chn-c41e3e0e-fc12-46eb-a63e-e66e20ec713f,Pyrgoma cancellatum,Animalia,Arthropoda,3384,169.2,37,transboundary
Chn-c52065c0-9805-4194-99b0-c065a99ff036,Shinkaia crosnieri,Animalia,Arthropoda,2908,145.4,28,transboundary
Chn-c61bf079-7d77-4066-b959-af45ce76b7c7,Coronidopsis serenei,Animalia,Arthropoda,1782,89.1,13,transboundary
Chn-c8256144-85c0-4e67-8d9e-66bddaa9fc7c,Catoptometra magnifica,Animalia,Echinodermata,1880,94,16,transboundary
Chn-d7711d01-207c-4063-b5b0-39ea5a6af39b,Mesacturus furcicaudatus,Animalia,Arthropoda,74,3.7,5,transboundary
Chn-d879fd7e-8358-430b-9b8f-974a10d1a38d,Quollastria gonypetes,Animalia,Arthropoda,3070,153.5,31,transboundary
Chn-d99f6747-b64f-4916-8b24-df588e80e148,Galacantha valdiviae,Animalia,Arthropoda,874,43.7,16,transboundary
Chn-dafffb15-39ca-4fb2-b129-51299d9f42a2,Pterometra trichopoda,Animalia,Echinodermata,1227,61.35,11,transboundary
Chn-dce6b77a-03cc-433c-84ea-87a6bf910860,Lissoporcellana spinuligera,Animalia,Arthropoda,976,48.8,10,transboundary
Chn-dd8f0e66-32f6-41d8-b6aa-eaca7bf2fff4,Clorida denticauda,Animalia,Arthropoda,1383,69.15,17,transboundary
Chn-e255742b-b365-4757-9d21-e0f81f32bfbc,Siamosquilla laevicaudata,Animalia,Arthropoda,1079,53.95,15,transboundary
Chn-e2a039b7-163b-4573-a5b0-3950d5824678,Amphibalanus amphitrite,Animalia,Arthropoda,10653,532.65,72,transboundary
Chn-e5f20c3d-2d0d-4256-9f09-7dbb355b4149,Zygometra comata,Animalia,Echinodermata,2181,109.05,17,transboundary
Chn-ef0da0c6-5191-4986-8433-7c7da5e62cd3,Harpiosquilla melanoura,Animalia,Arthropoda,3644,182.2,38,transboundary
Chn-eff8756a-9d9f-4430-886b-4a0badfed55d,Paralbunea dayriti,Animalia,Arthropoda,3175,158.75,32,transboundary
Chn-f031838d-0a64-4288-8d25-04c0ab44ad67,Crosnierita yante,Animalia,Arthropoda,2205,110.25,24,transboundary
Chn-f032dfea-b70b-431e-a2d5-9540e96a5263,Chorisquilla pococki,Animalia,Arthropoda,960,48,11,transboundary
Chn-f0468771-49d3-4d4b-a479-b094f979105b,Lissoporcellana streptochiroides,Animalia,Arthropoda,1703,85.15,17,transboundary
Chn-f3828601-b430-4ef9-bed4-072a275b42fa,Paramunida proxima,Animalia,Arthropoda,582,29.1,12,transboundary
Chn-f41af29f-5e40-4cb4-8862-220e6e64b329,Michelopagurus limatulus,Animalia,Arthropoda,3162,158.1,43,transboundary
Chn-f530af20-5532-4197-9324-3417559a8a5e,Fallosquilla fallax,Animalia,Arthropoda,2727,136.35,33,transboundary
Chn-fb2dd6bd-a63d-4bf0-9ba2-c98db8474306,Lamprometra palmata,Animalia,Echinodermata,3721,186.05,38,transboundary
Chn-fe4cfc67-6edb-4c41-81d4-41b7ec6a8391,Laomedia astacina,Animalia,Arthropoda,100,5,1,singlecountry
Cla-29190,Penilia avirostris,Animalia,Arthropoda,3135,156.75,25,transboundary
Fis-10199,Pseudanthias evansi,Animalia,Chordata,2702,135.1,30,transboundary
Fis-10312,Parupeneus macronemus,Animalia,Chordata,2939,146.95,29,transboundary
Fis-10405,Jaydia queketti,Animalia,Chordata,626,31.3,12,transboundary
Fis-10407,Apogonichthyoides nigripinnis,Animalia,Chordata,3179,158.95,38,transboundary
Fis-10471,Ellochelon vaigiensis,Animalia,Chordata,3352,167.6,41,transboundary
Fis-10690,Apodichthys fucorum,Animalia,Chordata,189,9.45,3,transboundary
Fis-10767,Asterorhombus intermedius,Animalia,Chordata,3196,159.8,31,transboundary
Fis-10768,Glyptocephalus zachirus,Animalia,Chordata,849,42.45,3,transboundary
Fis-10896,Coelorinchus occa,Animalia,Chordata,1007,50.35,24,transboundary
Fis-10903,Coelorinchus canus,Animalia,Chordata,103,5.15,5,transboundary
Fis-10950,Parascorpaena picta,Animalia,Chordata,2801,140.05,26,transboundary
Fis-10975,Brachirus orientalis,Animalia,Chordata,2425,121.25,31,transboundary
Fis-10984,Haemulon maculicauda,Animalia,Chordata,210,10.5,5,transboundary
Fis-1099,Sarda lineolata,Animalia,Chordata,220,11,3,transboundary
Fis-10993,Scorpaena mystes,Animalia,Chordata,306,15.3,10,transboundary
Fis-11214,Arnoglossus macrolophus,Animalia,Chordata,4209,210.45,39,transboundary
Fis-112180,Heteroconger klausewitzi,Animalia,Chordata,13,0.65,1,singlecountry
Fis-112194,Brotula ordwayi,Animalia,Chordata,30,1.5,2,transboundary
Fis-112197,Ogilbia deroyi,Animalia,Chordata,8,0.4,1,singlecountry
Fis-11256,Limanda aspera,Animalia,Chordata,1655,82.75,5,transboundary
Fis-112580,Prionotus beanii,Animalia,Chordata,470,23.5,14,transboundary
Fis-112582,Peristedion truncatum,Animalia,Chordata,1072,53.6,22,transboundary
Fis-112590,Peristedion ecuadorense,Animalia,Chordata,719,35.95,15,transboundary
Fis-112634,Bathysolea polli,Animalia,Chordata,549,27.45,22,transboundary
Fis-112639,Bathysolea lagarderae,Animalia,Chordata,266,13.3,10,transboundary
Fis-112688,Pontinus helena,Animalia,Chordata,100,5,7,transboundary
Fis-112689,Scorpaena agassizii,Animalia,Chordata,804,40.2,16,transboundary
Fis-112702,Laemonema robustum,Animalia,Chordata,4455,222.75,60,transboundary
Fis-112703,Lepidion guentheri,Animalia,Chordata,37,1.85,4,transboundary
Fis-112706,Bellator ribeiroi,Animalia,Chordata,421,21.05,14,transboundary
Fis-112710,Holcomycteronus squamosus,Animalia,Chordata,10836,541.8,75,transboundary
Fis-112716,Bidenichthys consobrinus,Animalia,Chordata,65,3.25,1,singlecountry
Fis-112720,Haplocylix littoreus,Animalia,Chordata,61,3.05,1,singlecountry
Fis-112726,Gastroscyphus hectoris,Animalia,Chordata,61,3.05,1,singlecountry
Fis-112746,Trachelochismus pinnulatus,Animalia,Chordata,117,5.85,2,transboundary
Fis-112752,Diplocrepis puniceus,Animalia,Chordata,48,2.4,1,singlecountry
Fis-112758,Gastrocyathus gracilis,Animalia,Chordata,35,1.75,1,singlecountry
Fis-112761,Trachelochismus melobesia,Animalia,Chordata,115,5.75,1,singlecountry
Fis-112766,Dellichthys morelandi,Animalia,Chordata,74,3.7,1,singlecountry
Fis-112772,Gobiopsis atrata,Animalia,Chordata,116,5.8,2,transboundary
Fis-112789,Notoclinops caerulepunctus,Animalia,Chordata,104,5.2,1,singlecountry
Fis-112790,Notoclinops segmentatus,Animalia,Chordata,109,5.45,2,transboundary
Fis-112792,Cryptichthys jojettae,Animalia,Chordata,86,4.3,1,singlecountry
Fis-112793,Bellapiscis medius,Animalia,Chordata,92,4.6,1,singlecountry
Fis-112797,Gobius ater,Animalia,Chordata,268,13.4,6,transboundary
Fis-112799,Ruanoho decemdigitatus,Animalia,Chordata,102,5.1,2,transboundary
Fis-112801,Gobius bucchichi,Animalia,Chordata,49,2.45,4,transboundary
Fis-112804,Gobius roulei,Animalia,Chordata,182,9.1,3,transboundary
Fis-112805,Gobius vittatus,Animalia,Chordata,641,32.05,11,transboundary
Fis-112813,Cynoscion similis,Animalia,Chordata,158,7.9,7,transboundary
Fis-112814,Echiodon dentatus,Animalia,Chordata,1630,81.5,24,transboundary
Fis-112819,Scorpaenodes arenai,Animalia,Chordata,159,7.95,5,transboundary
Fis-112822,Bathyclupea argentea,Animalia,Chordata,2059,102.95,34,transboundary
Fis-112823,Pseudoscopelus scriptus,Animalia,Chordata,1078,53.9,2,transboundary
Fis-112833,Apopterygion alta,Animalia,Chordata,218,10.9,1,singlecountry
Fis-112843,Apopterygion oculus,Animalia,Chordata,34,1.7,1,singlecountry
Fis-112881,Forsterygion malcolmi,Animalia,Chordata,63,3.15,1,singlecountry
Fis-112883,Karalepis stewarti,Animalia,Chordata,112,5.6,2,transboundary
Fis-112889,Snyderina guentheri,Animalia,Chordata,462,23.1,9,transboundary
Fis-112891,Minous dempsterae,Animalia,Chordata,391,19.55,8,transboundary
Fis-112892,Minous inermis,Animalia,Chordata,1651,82.55,24,transboundary
Fis-112893,Kumococius rodericensis,Animalia,Chordata,4241,212.05,39,transboundary
Fis-112894,Sorsogona melanoptera,Animalia,Chordata,1093,54.65,18,transboundary
Fis-112898,Sorsogona nigripinna,Animalia,Chordata,302,15.1,8,transboundary
Fis-112899,Cirrhitichthys calliurus,Animalia,Chordata,871,43.55,15,transboundary
Fis-112901,Parupeneus margaritatus,Animalia,Chordata,529,26.45,11,transboundary
Fis-112902,Upeneus pori,Animalia,Chordata,810,40.5,21,transboundary
Fis-112905,Moolgarda pedaraki,Animalia,Chordata,1709,85.45,20,transboundary
Fis-112910,Pomadasys punctulatus,Animalia,Chordata,377,18.85,9,transboundary
Fis-112915,Callionymus carebares,Animalia,Chordata,928,46.4,22,transboundary
Fis-112916,Callionymus erythraeus,Animalia,Chordata,572,28.6,14,transboundary
Fis-112918,Callionymus hindsii,Animalia,Chordata,2142,107.1,23,transboundary
Fis-112933,Diplogrammus pygmaeus,Animalia,Chordata,459,22.95,11,transboundary
Fis-112941,Callogobius bifasciatus,Animalia,Chordata,812,40.6,19,transboundary
Fis-112946,Coryogalops adamsoni,Animalia,Chordata,517,25.85,13,transboundary
Fis-112956,Coryogalops anomolus,Animalia,Chordata,814,40.7,19,transboundary
Fis-112980,Cryptocentroides arabicus,Animalia,Chordata,362,18.1,10,transboundary
Fis-112982,Eviota pardalota,Animalia,Chordata,876,43.8,21,transboundary
Fis-112985,Gobiodon reticulatus,Animalia,Chordata,920,46,20,transboundary
Fis-113002,Lobulogobius omanensis,Animalia,Chordata,3441,172.05,37,transboundary
Fis-113003,Gobiopsis canalis,Animalia,Chordata,318,15.9,9,transboundary
Fis-113005,Palutrus meteori,Animalia,Chordata,450,22.5,9,transboundary
Fis-113007,Priolepis randalli,Animalia,Chordata,1693,84.65,23,transboundary
Fis-113054,Uranoscopus dollfusi,Animalia,Chordata,464,23.2,10,transboundary
Fis-113062,Parapercis maculata,Animalia,Chordata,1132,56.6,24,transboundary
Fis-113070,Bathygobius meggitti,Animalia,Chordata,3223,161.15,35,transboundary
Fis-113074,Canthidermis macrolepis,Animalia,Chordata,165,8.25,5,transboundary
Fis-113082,Thamnaconus melanoproctes,Animalia,Chordata,487,24.35,10,transboundary
Fis-113085,Pseudanthias townsendi,Animalia,Chordata,523,26.15,11,transboundary
Fis-113108,Holapogon maximus,Animalia,Chordata,175,8.75,6,transboundary
Fis-113149,Callionymus margaretae,Animalia,Chordata,706,35.3,15,transboundary
Fis-113153,Ogilbia ventralis,Animalia,Chordata,26,1.3,1,singlecountry
Fis-113158,Arcos erythrops,Animalia,Chordata,202,10.1,4,transboundary
Fis-113162,Arcos rhodospilus,Animalia,Chordata,253,12.65,8,transboundary
Fis-113165,Gobiesox adustus,Animalia,Chordata,1012,50.6,18,transboundary
Fis-113181,Pseudochromis andamanensis,Animalia,Chordata,2322,116.1,24,transboundary
Fis-113182,Pseudochromis elongatus,Animalia,Chordata,1135,56.75,11,transboundary
Fis-113184,Rhabdamia nigrimentum,Animalia,Chordata,62,3.1,4,transboundary
Fis-113210,Trichonotus halstead,Animalia,Chordata,573,28.65,6,transboundary
Fis-113235,Pseudanthias olivaceus,Animalia,Chordata,533,26.65,12,transboundary
Fis-113258,Parapercis colemani,Animalia,Chordata,312,15.6,6,transboundary
Fis-113272,Amblyeleotris yanoi,Animalia,Chordata,1018,50.9,15,transboundary
Fis-113283,Amblyeleotris masuii,Animalia,Chordata,1354,67.7,14,transboundary
Fis-113287,Psilogobius mainlandi,Animalia,Chordata,35,1.75,1,singlecountry
Fis-113288,Phthanophaneron harveyi,Animalia,Chordata,66,3.3,1,singlecountry
Fis-113302,Axoclinus cocoensis,Animalia,Chordata,34,1.7,6,transboundary
Fis-113313,Axoclinus lucillae,Animalia,Chordata,190,9.5,7,transboundary
Fis-113326,Axoclinus nigricaudus,Animalia,Chordata,85,4.25,1,singlecountry
Fis-113332,Bellapiscis lesleyae,Animalia,Chordata,91,4.55,2,transboundary
Fis-113384,Lonchopisthus sinuscalifornicus,Animalia,Chordata,185,9.25,2,transboundary
Fis-113413,Eucinostomus dowii,Animalia,Chordata,317,15.85,8,transboundary
Fis-113426,Apogon retrosella,Animalia,Chordata,268,13.4,5,transboundary
Fis-113429,Apogon atricaudus,Animalia,Chordata,166,8.3,3,transboundary
Fis-113438,Crocodilichthys gracilis,Animalia,Chordata,105,5.25,1,singlecountry
Fis-113441,Enneanectes reticulatus,Animalia,Chordata,107,5.35,2,transboundary
Fis-113453,Lepidonectes clarkhubbsi,Animalia,Chordata,149,7.45,7,transboundary
Fis-113462,Dactyloscopus pectoralis,Animalia,Chordata,289,14.45,7,transboundary
Fis-113467,Gillellus arenicola,Animalia,Chordata,160,8,3,transboundary
Fis-113480,Gillellus searcheri,Animalia,Chordata,143,7.15,8,transboundary
Fis-113495,Gillellus semicinctus,Animalia,Chordata,323,16.15,9,transboundary
Fis-113497,Heteristius cinctus,Animalia,Chordata,199,9.95,7,transboundary
Fis-113503,Platygillellus altivelis,Animalia,Chordata,84,4.2,5,transboundary
Fis-113504,Platygillellus bussingi,Animalia,Chordata,116,5.8,6,transboundary
Fis-113505,Exerpes asper,Animalia,Chordata,112,5.6,1,singlecountry
Fis-113513,Malacoctenus ebisui,Animalia,Chordata,226,11.3,6,transboundary
Fis-113545,Paraclinus sini,Animalia,Chordata,101,5.05,1,singlecountry
Fis-113546,Paraclinus tanygnathus,Animalia,Chordata,45,2.25,1,singlecountry
Fis-113548,Starksia fulva,Animalia,Chordata,128,6.4,7,transboundary
Fis-113550,Starksia galapagensis,Animalia,Chordata,16,0.8,1,singlecountry
Fis-113553,Starksia spinipenis,Animalia,Chordata,208,10.4,4,transboundary
Fis-113558,Xenomedea rhodopyga,Animalia,Chordata,101,5.05,1,singlecountry
Fis-113559,Acanthemblemaria balanorum,Animalia,Chordata,49,2.45,1,singlecountry
Fis-113560,Acanthemblemaria crockeri,Animalia,Chordata,83,4.15,1,singlecountry
Fis-113577,Acanthemblemaria exilispinus,Animalia,Chordata,38,1.9,3,transboundary
Fis-113583,Acanthemblemaria hancocki,Animalia,Chordata,132,6.6,6,transboundary
Fis-113588,Acanthemblemaria macrospilus,Animalia,Chordata,112,5.6,3,transboundary
Fis-113601,Chaenopsis deltarrhis,Animalia,Chordata,120,6,7,transboundary
Fis-113607,Coralliozetus micropes,Animalia,Chordata,91,4.55,1,singlecountry
Fis-113613,Coralliozetus rosenblatti,Animalia,Chordata,96,4.8,1,singlecountry
Fis-113620,Coralliozetus springeri,Animalia,Chordata,197,9.85,8,transboundary
Fis-113633,Malacoctenus hubbsi,Animalia,Chordata,135,6.75,2,transboundary
Fis-113645,Ekemblemaria myersi,Animalia,Chordata,226,11.3,6,transboundary
Fis-113667,Emblemaria hypacanthus,Animalia,Chordata,248,12.4,6,transboundary
Fis-113669,Emblemaria nivipes,Animalia,Chordata,136,6.8,8,transboundary
Fis-11367,Coelorinchus acanthiger,Animalia,Chordata,653,32.65,12,transboundary
Fis-113671,Emblemaria piratica,Animalia,Chordata,148,7.4,6,transboundary
Fis-113673,Emblemaria walkeri,Animalia,Chordata,67,3.35,1,singlecountry
Fis-113675,Mccoskerichthys sandae,Animalia,Chordata,91,4.55,6,transboundary
Fis-113679,Enneapterygius niger,Animalia,Chordata,956,47.8,14,transboundary
Fis-113680,Stathmonotus sinuscalifornici,Animalia,Chordata,93,4.65,1,singlecountry
Fis-11369,Coelorinchus aconcagua,Animalia,Chordata,67,3.35,2,transboundary
Fis-113698,Enneapterygius atrogulare,Animalia,Chordata,346,17.3,5,transboundary
Fis-113707,Aruma histrio,Animalia,Chordata,91,4.55,1,singlecountry
Fis-113726,Cerdale ionthas,Animalia,Chordata,100,5,6,transboundary
Fis-113732,Barbulifer pantherinus,Animalia,Chordata,92,4.6,1,singlecountry
Fis-113736,Bollmannia gomezi,Animalia,Chordata,236,11.8,7,transboundary
Fis-113740,Chriolepis minutillus,Animalia,Chordata,68,3.4,1,singlecountry
Fis-113745,Chriolepis zebra,Animalia,Chordata,98,4.9,1,singlecountry
Fis-113782,Microgobius miraflorensis,Animalia,Chordata,154,7.7,6,transboundary
Fis-113787,Microgobius tabogensis,Animalia,Chordata,93,4.65,7,transboundary
Fis-11380,Coelorinchus biclinozonalis,Animalia,Chordata,215,10.75,1,singlecountry
Fis-113814,Parrella maxillaris,Animalia,Chordata,183,9.15,4,transboundary
Fis-113821,Pycnomma semisquamatum,Animalia,Chordata,57,2.85,1,singlecountry
Fis-113822,Microgobius emblematicus,Animalia,Chordata,194,9.7,7,transboundary
Fis-113825,Lythrypnus rhizophora,Animalia,Chordata,214,10.7,6,transboundary
Fis-113838,Lythrypnus pulchellus,Animalia,Chordata,252,12.6,5,transboundary
Fis-113842,Lythrypnus insularis,Animalia,Chordata,3,0.15,1,singlecountry
Fis-113852,Gobiosoma chiquita,Animalia,Chordata,142,7.1,3,transboundary
Fis-113878,Gobulus hancocki,Animalia,Chordata,248,12.4,7,transboundary
Fis-113900,Microgobius erectus,Animalia,Chordata,261,13.05,7,transboundary
Fis-113904,Microgobius brevispinis,Animalia,Chordata,77,3.85,6,transboundary
Fis-113908,Elacatinus puncticulatus,Animalia,Chordata,239,11.95,7,transboundary
Fis-113918,Ceratobregma acanthops,Animalia,Chordata,487,24.35,7,transboundary
Fis-113923,Ctenogobius sagittula,Animalia,Chordata,295,14.75,8,transboundary
Fis-113926,Ctenogobius manglicola,Animalia,Chordata,185,9.25,4,transboundary
Fis-113929,Ceratobregma helenae,Animalia,Chordata,2909,145.45,32,transboundary
Fis-113951,Microgobius cyclolepis,Animalia,Chordata,261,13.05,6,transboundary
Fis-113956,Microgobius curtus,Animalia,Chordata,193,9.65,5,transboundary
Fis-113987,Tomicodon boehlkei,Animalia,Chordata,167,8.35,2,transboundary
Fis-114007,Enneapterygius gracilis,Animalia,Chordata,1101,55.05,9,transboundary
Fis-11401,Coelorinchus kaiyomaru,Animalia,Chordata,691,34.55,11,transboundary
Fis-11405,Coelorinchus karrerae,Animalia,Chordata,493,24.65,11,transboundary
Fis-114086,Labichthys yanoi,Animalia,Chordata,4504,225.2,6,transboundary
Fis-114088,Serrivomer samoensis,Animalia,Chordata,53306,2665.3,58,transboundary
Fis-114098,Bathophilus filifer,Animalia,Chordata,49114,2455.7,59,transboundary
